late_penalty_inr_per_min,penalty_multiplier,median_ftl_time_gain_min,value_of_ftl_time_gain_inr,breakeven_km_transport_only,breakeven_km_generalised
17.5,0.5,0.1617247672224238,5.256054934728773,180.0,179.47439450652712
26.25,0.75,0.1617247672224238,6.6711466479249815,180.0,179.3328853352075
35.0,1.0,0.1617247672224238,8.08623836112119,180.0,179.1913761638879
52.5,1.5,0.1617247672224238,10.916421787513606,180.0,178.90835782124864
70.0,2.0,0.1617247672224238,13.746605213906022,180.0,178.62533947860942
