distance_band,time_of_day,source_graph_position,legs,ftl_share_recommended,ftl_share_today,avg_eta_saved_by_ftl_min,avg_ftl_cost_premium_inr,avg_generalised_saving_inr,switch_rate,recommendation
75-150km,late_night,major,23,0.0,0.782608695652174,-13.281618953068188,1010.1952608695653,1665.3858952615371,0.782608695652174,Default Carting
25-75km,morning,major,164,0.09146341463414634,0.14634146341463414,25.5138775563382,1388.5105426829268,1513.8801691450033,0.23780487804878048,Default Carting
25-75km,night,peripheral,44,0.0,0.8181818181818182,0.31433053665604616,1353.5745,1097.5220955592808,0.8181818181818182,Default Carting
25-75km,morning,peripheral,165,0.0,0.6424242424242425,-1.5274942091660546,1364.2814484848486,917.9862271029135,0.6424242424242425,Default Carting
25-75km,late_night,major,258,0.007751937984496124,0.5077519379844961,-2.642867973695044,1339.9088410852714,916.5992890593686,0.5155038759689923,Default Carting
25-75km,late_night,connector,731,0.009575923392612859,0.6566347469220246,1.0171661968729095,1378.13531874145,903.1432304768938,0.6662106703146374,Default Carting
75-150km,late_night,connector,50,0.0,0.82,-0.5720439285676366,994.1756199999999,902.2925336534357,0.82,Default Carting
25-75km,morning,connector,210,0.023809523809523808,0.5761904761904761,3.827156331210686,1354.0614428571428,882.1590106177927,0.6,Default Carting
25-75km,late_night,peripheral,777,0.0,0.6344916344916345,0.8247028223918144,1367.6137915057914,856.4785494263189,0.6344916344916345,Default Carting
75-150km,late_night,peripheral,59,0.05084745762711865,0.8135593220338984,3.585796453280536,999.0899830508474,822.0768257596873,0.7966101694915254,Default Carting
75-150km,morning,connector,29,0.0,0.7931034482758621,-0.4498986746091138,1010.239275862069,810.729207509685,0.7931034482758621,Default Carting
25-75km,night,major,218,0.027522935779816515,0.5504587155963303,-1.264637891916074,1325.0324724770644,784.0407682759243,0.5779816513761468,Default Carting
25-75km,night,connector,76,0.0,0.5526315789473685,0.6217186811152756,1315.498210526316,747.8334588379191,0.5526315789473685,Default Carting
25-75km,evening,major,180,0.0,0.5055555555555555,-0.8784902922472567,1377.8876888888888,670.11428981527,0.5055555555555555,Default Carting
75-150km,evening,major,20,0.0,0.7,-1.10091631396648,999.5019999999998,659.4763586073128,0.7,Default Carting
75-150km,night,major,24,0.0,0.625,1.3536897168530089,1015.4939166666667,600.984255614664,0.625,Default Carting
25-75km,afternoon,major,53,0.11320754716981132,0.32075471698113206,10.45024450684219,1390.6319811320755,585.9286508957737,0.4339622641509434,Default Carting
25-75km,afternoon,connector,43,0.09302325581395349,0.37209302325581395,6.200572406302362,1411.376465116279,562.0153533961784,0.46511627906976744,Default Carting
25-75km,afternoon,peripheral,60,0.03333333333333333,0.3333333333333333,3.060579636156996,1424.4214333333332,460.27266602551003,0.36666666666666664,Default Carting
25-75km,evening,connector,26,0.0,0.2692307692307692,1.2265076502967962,1425.5163076923077,383.6816199018905,0.2692307692307692,Default Carting
25-75km,late_night,critical,237,0.05485232067510549,0.05907172995780591,8.586165610005823,1420.701358649789,175.1120542184952,0.11392405063291139,Default Carting
25-75km,night,critical,146,0.0,0.13013698630136986,-3.87047865713587,1384.0108561643835,158.64754222169995,0.13013698630136986,Default Carting
25-75km,evening,critical,235,0.0,0.1148936170212766,-7.01956835292665,1394.5456042553192,143.50306365763913,0.1148936170212766,Default Carting
25-75km,morning,critical,134,0.029850746268656716,0.06716417910447761,6.498861649210676,1416.435328358209,131.31646754959496,0.09701492537313433,Default Carting
25-75km,afternoon,critical,135,0.06666666666666667,0.022222222222222223,3.9840323607613635,1404.3480962962963,102.7910859154484,0.08888888888888889,Default Carting
75-150km,late_night,critical,21,0.0,0.0,15.383400562978673,1016.9985238095238,0.0,0.0,Default Carting
