facility,facility_name,betweenness,pagerank,clustering_coeff,in_degree,out_degree,weighted_in_degree,weighted_out_degree,in_legs,in_excess_minutes,in_late_legs,out_legs,out_excess_minutes,out_late_legs,legs_touched,late_legs_touched,excess_minutes_touched,sla_contribution_pct,betweenness_score,weighted_in_degree_score,weighted_out_degree_score,excess_minutes_touched_score,chokepoint_score
IND421302AAF,Mumbai_Kalyan (Maharashtra),0.0,0.00017023117673190812,0.0,0,1,0,5,1.0,25.616666666666667,1.0,5.0,5.500000000000014,4.0,6.0,5.0,31.11666666666668,0.005672924039247349,0.0,0.0,0.00651890482398957,0.0009415267259030534,0.0015391626462736775
IND496001AAA,Raigarh_MithmdRd_D (Chhattisgarh),0.0,0.0003149399203865224,0.0,1,0,5,0,5.0,11.007207207207216,1.0,0.0,0.0,0.0,5.0,1.0,11.007207207207216,0.002006739701255783,0.0,0.00727802037845706,0.0,0.00033305558960273053,0.0015388679730920947
IND641001AAA,Coimbatore_Ukkadam_D (Tamil Nadu),0.0,0.0003149399203865224,0.0,1,0,3,0,3.0,6.0955882352941195,1.0,2.0,80.23787414965986,2.0,5.0,3.0,86.33346238495398,0.01573957710193022,0.0,0.004366812227074236,0.0,0.002612274092400003,0.0015264309685148478
IND262122AAB,Puranpur_MdothdRD_D (Uttar Pradesh),0.0,0.0003149399203865224,0.0,1,0,4,0,4.0,13.058064516129065,2.0,2.0,33.74926227916919,2.0,6.0,4.0,46.80732679529825,0.008533510746329529,0.0,0.005822416302765648,0.0,0.0014162940271832266,0.0015185567673489362
IND736165AAA,Pundibari_StatonRD_D (West Bengal),0.0,0.0003394613303790318,0.0,1,0,5,0,5.0,7.521052631578968,2.0,0.0,0.0,0.0,5.0,2.0,7.521052631578968,0.0013711738706201019,0.0,0.00727802037845706,0.0,0.00022757167840027056,0.0015124969952914796
IND792001AAA,Tezu_Farmnala_D (Arunachal Pradesh),0.0,0.0007773304032595079,0.0,1,0,5,0,5.0,0.0,0.0,2.0,7.025000000000034,1.0,7.0,1.0,7.025000000000034,0.0012807378053255318,0.0,0.00727802037845706,0.0,0.00021256213977939944,0.0015087446106362618
IND477001AAA,Bhind_BhrolDPP_D (Madhya Pradesh),0.0,0.0005756300821513216,0.0,1,0,4,0,4.0,0.0,0.0,1.0,44.12500000000003,1.0,5.0,1.0,44.12500000000003,0.00804449190889521,0.0,0.005822416302765648,0.0,0.0013351323014613467,0.0014982663359184663
IND232104AAB,Chandauli_ShubsNGR_D (Uttar Pradesh),0.0,0.0003149399203865224,0.0,1,0,4,0,4.0,31.069059829059835,2.0,2.0,10.90000000000002,2.0,6.0,4.0,41.96905982905986,0.007651439370397979,0.0,0.005822416302765648,0.0,0.001269897958974314,0.0014819577502967081
IND274304AAA,Kushinagar_KasyaDPP_D (Uttar Pradesh),0.0,0.00017023117673190812,0.0,0,1,0,4,2.0,4.783333333333331,1.0,4.0,52.497435897435906,4.0,6.0,5.0,57.28076923076924,0.010442939028038901,0.0,0.0,0.005215123859191656,0.0017331989858935565,0.0014763245183117201
IND441206AAB,Brahmapuri_DhnliRth_D (Maharashtra),0.0,0.00017023117673190812,0.0,0,1,0,5,0.0,0.0,0.0,5.0,22.29666666666668,3.0,5.0,3.0,22.29666666666668,0.004064937214625123,0.0,0.0,0.00651890482398957,0.0006746515553899867,0.0014724438536454108
IND841101AAA,Sonepur_Sabalpur_D (Bihar),0.0,0.00017023117673190812,0.0,0,1,0,3,0.0,0.0,0.0,3.0,90.96666666666667,2.0,3.0,2.0,90.96666666666667,0.016584263206326732,0.0,0.0,0.003911342894393742,0.002752465382956006,0.00147038492461775
IND335051AAA,RaisingNgr_BisnolDPP_D (Rajasthan),0.0,0.00017023117673190812,0.0,0,1,0,5,2.0,0.0,0.0,5.0,20.599999999999994,2.0,7.0,2.0,20.599999999999994,0.0037556154860791204,0.0,0.0,0.00651890482398957,0.0006233138903139653,0.0014596094373764054
IND125121AAA,Barwala_Central_DPP_1 (Haryana),0.0,0.00017023117673190812,0.0,0,1,0,3,2.0,37.50066964285715,1.0,3.0,51.837500000000006,2.0,5.0,3.0,89.33816964285715,0.01628736958294553,0.0,0.0,0.003911342894393742,0.0027031903919232186,0.001458066176859553
IND423301AAB,Satana_ThrbadRD_D (Maharashtra),0.0,0.0005491009225789918,0.0,1,0,5,0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.00727802037845706,0.0,0.0,0.001455604075691412
IND505325AAA,Metpally_GunjRDPP_D (Telangana),0.0,0.0004379594628337477,0.0,1,0,5,0,5.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.00727802037845706,0.0,0.0,0.001455604075691412
IND125111AAA,Fatehabad_BhunaDPP_D (Haryana),0.0,0.0006076295752318229,0.0,1,0,4,0,4.0,0.0,0.0,2.0,37.50066964285715,1.0,6.0,1.0,37.50066964285715,0.0068368007596626935,0.0,0.005822416302765648,0.0,0.0011346936060421414,0.001448156662063665
