embedder,fit_seconds,embedded_mae,embedded_within15,gain_over_structural,ci95_low,ci95_high,significant
graphsage,22.4,31.836149942449868,56.08408570273548,0.14896924039760862,-0.05752668058316299,0.3606816125667638,False
node2vec,46.7,31.94748719304667,56.66352243632934,0.03763198980080773,-0.25469081764018264,0.3257838707645583,False
svd,15.4,32.160789011297084,56.057135156986924,-0.17566982844960677,-0.4465132328331312,0.08703614376407995,False
