recovery_scenario,excess_recovery_rate,dwell_minutes_removed_per_leg,penalty_scenario,penalty_share,legs_touching_target_hubs,late_legs_touching_target_hubs,late_legs_before,late_legs_recovered,late_reduction_pct,excess_minutes_recovered,revenue_recovered_inr,revenue_recovered_cr,revenue_recovered_per_100k_legs_inr
conservative,0.3,9.12794117647059,low,0.06,4622,1144,6873,254,3.6956205441583005,9189.495568632814,6858.0,0.0006858,26008.79854368932
conservative,0.3,9.12794117647059,central,0.1,4622,1144,6873,254,3.6956205441583005,9189.495568632814,11430.0,0.001143,43347.99757281553
conservative,0.3,9.12794117647059,high,0.14,4622,1144,6873,254,3.6956205441583005,9189.495568632814,16002.000000000002,0.0016002000000000002,60687.19660194175
central,0.5,15.213235294117649,low,0.06,4622,1144,6873,377,5.485232067510548,14243.643058460648,10179.0,0.0010179,38603.61043689321
central,0.5,15.213235294117649,central,0.1,4622,1144,6873,377,5.485232067510548,14243.643058460648,16965.0,0.0016965,64339.35072815534
central,0.5,15.213235294117649,high,0.14,4622,1144,6873,377,5.485232067510548,14243.643058460648,23751.000000000004,0.0023751,90075.09101941748
optimistic,0.65,19.777205882352945,low,0.06,4622,1144,6873,448,6.5182598574130655,17593.223548316375,12096.0,0.0012096,45873.786407766995
optimistic,0.65,19.777205882352945,central,0.1,4622,1144,6873,448,6.5182598574130655,17593.223548316375,20160.0,0.002016,76456.31067961165
optimistic,0.65,19.777205882352945,high,0.14,4622,1144,6873,448,6.5182598574130655,17593.223548316375,28224.000000000004,0.0028224000000000005,107038.83495145632
