rank,facility,facility_name,betweenness,chokepoint_score,sla_contribution_pct,legs_touched,late_legs,late_rate_pct,excess_minutes,median_delay_ratio,in_capital_case
1,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),0.1407969770365147,1.0,6.025239521274592,1991,416,20.894023103967854,42948.07110431323,1.90951821386604,True
2,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),0.07168150701430893,0.5391883552366818,1.6057345249620343,1433,311,21.702721563154224,13113.196990801924,1.7881355932203389,True
3,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),0.04193693910712643,0.5003378677328977,3.2221956971679484,1404,423,30.128205128205128,27653.3865866596,2.283361644463106,True
4,IND501359AAE,Hyderabad_Shamshbd_H (Telangana),0.0828698005860222,0.41961163488331155,1.5021548116698313,734,135,18.392370572207085,10881.708466124634,1.9568200462376018,False
5,IND712311AAA,Kolkata_Dankuni_HB (West Bengal),0.04809279998598452,0.37942502287329927,3.8747913893371257,481,196,40.74844074844075,32060.184238239162,2.611111111111111,False
