rung,model,n,mae_minutes,rmse_minutes,within_15pct,within_25pct,median_ape_pct,bias_minutes,n_features
osrm,"OSRM raw estimate (incumbent, no model)",7421,107.77550195391457,248.14916281773327,4.2986120468939495,9.634820105107128,50.0,-107.43484705565288,
trip,Tabular baseline (routing estimate + calendar),7421,41.27532069612578,120.02285195157752,43.673359385527554,62.592642501010644,17.859792565277495,-19.213784408613797,12.0
corridor,+ corridor history,7421,32.1653661551072,101.3803239298311,56.24578897722679,72.79342406683736,12.735497104408308,-9.653162260653852,23.0
structural,+ network position (centrality),7421,31.985119182847477,100.95237093486512,56.09756097560976,73.64236625791672,12.57927104973252,-9.772111895222741,43.0
embedded,+ learned node embeddings,7421,31.94748719304667,104.37008443739515,56.66352243632934,73.23810807168846,12.452613927039504,-10.092668650942407,116.0
