source_center,destination_center,leg_count,median_delay_ratio,mean_delay_ratio,p75_delay_ratio,median_actual_minutes,median_osrm_minutes,median_osrm_km,total_excess_minutes,late_rate,ftl_share
IND000000AAL,IND411033AAA,14,2.5708333333333333,2.8454185247120027,3.2584615384615385,68.5,26.5,24.28745,159.2811403508772,0.35714285714285715,0.0
IND000000AAS,IND783370AAC,9,1.7666666666666666,2.0901234567901232,2.566666666666667,53.0,30.0,41.7822,53.082500000000046,0.4444444444444444,1.0
IND000000ABA,IND683565AAA,5,1.0,1.138888667818436,1.0952380952380953,22.0,21.0,18.699,0.0,0.0,0.0
IND000000ABD,IND562132AAA,12,1.704054054054054,1.7562629383971589,1.787162162162162,630.5,370.0,443.66679999999997,114.88823529411764,0.08333333333333333,1.0
IND000000ABG,IND501359AAF,9,7.535714285714286,7.645703062369729,8.25,211.0,28.0,32.7866,322.60727040816334,0.7777777777777778,0.0
IND000000ACA,IND142001AAB,8,1.7478813559322033,1.7562073519700638,1.8438311688311688,99.0,56.0,76.09785,0.0,0.0,1.0
IND000000ACA,IND142401AAA,6,2.35,2.7104922577113904,3.7543103448275863,54.5,25.5,36.48175,89.02272727272728,0.3333333333333333,1.0
IND000000ACA,IND144001AAB,14,1.6020408163265305,1.7365295943552248,1.8695478191276511,82.5,50.0,70.09445,28.657142857142873,0.21428571428571427,1.0
IND000000ACA,IND144514AAA,12,1.8174603174603174,2.140588553222962,2.5277777777777777,114.5,63.0,85.45885,277.1764705882353,0.4166666666666667,1.0
IND000000ACA,IND160002AAC,60,2.0798771121351765,2.1254948761945114,2.370967741935484,132.0,62.0,88.88645,295.2258064516133,0.23333333333333334,0.9833333333333333
IND000000ACB,IND000000AEL,17,1.8253968253968254,2.1993620282151287,2.2580645161290325,114.0,63.0,61.0186,406.9543650793652,0.29411764705882354,0.0
IND000000ACB,IND110024AAA,6,2.07658371040724,2.048368247204946,2.2361079219288174,138.0,66.5,59.611999999999995,11.029434389140306,0.16666666666666666,0.0
IND000000ACB,IND110030AAD,22,1.6726844583987441,1.9064781716882557,2.013505402160864,85.0,50.0,49.416,225.03886272457703,0.2727272727272727,0.0
IND000000ACB,IND110037AAK,26,1.8053306342780027,1.9323262985243337,2.0496951219512196,69.5,38.0,38.88335,127.84848613469158,0.23076923076923078,0.0
IND000000ACB,IND110043AAA,10,2.1212660028449504,2.3878796914323233,3.116943866943867,79.5,38.0,38.5343,137.48252726410618,0.4,0.0
IND000000ACB,IND110043AAC,9,1.9454545454545455,1.9872641761530652,1.9454545454545455,107.0,55.0,52.015,59.71785714285714,0.1111111111111111,0.0
IND000000ACB,IND110064AAA,38,1.6083634342873019,1.8471731542056478,2.2380917592051435,97.0,58.0,55.842,492.17108111426296,0.42105263157894735,0.0
IND000000ACB,IND110085AAB,18,1.6811896400351185,1.86901214513647,2.1724875267284394,113.5,67.0,65.45724999999999,179.5690408252854,0.2777777777777778,0.0
IND000000ACB,IND110092AAC,5,1.6575342465753424,1.6148833765272124,1.7702702702702702,121.0,74.0,69.59060000000001,0.0,0.0,0.0
IND000000ACB,IND110095AAB,26,1.9802631578947367,2.403074536674391,3.6665242652084755,150.5,77.0,71.58324999999999,1407.5651740237693,0.5,0.0
IND000000ACB,IND121002AAB,38,1.9621212121212122,2.2168780990517654,2.707692307692308,127.5,65.0,77.9684,629.2967406624384,0.42105263157894735,0.0
IND000000ACB,IND121004AAB,23,1.803030303030303,1.9635144294111684,2.1603729603729604,119.0,66.0,78.508,126.18465909090912,0.34782608695652173,0.0
IND000000ACB,IND122001AAA,39,1.8235294117647058,2.0545473604297135,2.1332442067736186,62.0,35.0,35.54,408.0780080213905,0.2564102564102564,0.0
IND000000ACB,IND124103AAA,10,1.8043478260869565,1.9165074718557942,1.9420289855072463,84.0,47.0,49.4519,53.7,0.2,1.0
IND000000ACB,IND124112AAA,5,2.065934065934066,2.352254913545236,2.806451612903226,188.0,90.0,112.7103,91.16208791208797,0.4,1.0
IND000000ACB,IND125001AAA,14,2.0896351575456054,2.1221802211824192,2.3161630528123656,281.0,135.0,170.3132,92.36267522038929,0.21428571428571427,1.0
IND000000ACB,IND125005AAA,4,1.9522058823529411,1.9872140522875816,2.0205746187363833,265.5,135.5,170.56535,0.0,0.0,1.0
IND000000ACB,IND131028AAB,73,2.1313131313131315,2.277514959380331,2.515463917525773,211.0,97.0,86.2927,1329.9372053872048,0.273972602739726,0.0
IND000000ACB,IND160002AAC,41,2.2843601895734595,2.594429157399312,2.938388625592417,482.0,211.0,280.2205,2545.5071090047404,0.34146341463414637,1.0
