source_center,destination_center,legs,median_delay_ratio,late_rate,late_rate_raw,excess_minutes,excess_minutes_uncapped,median_actual_minutes,median_osrm_minutes,median_osrm_km,ftl_share,sla_contribution_pct,is_chronic_raw,is_chronic_calibrated,is_credible_priority,source_facility,destination_facility,corridor
IND462022AAA,IND000000ACB,26,1.9131577857823046,0.11538461538461539,1.0,564.3489287444515,634.1922421993916,1113.0,584.0,814.2094500000001,1.0,0.17004569994513513,1,0,0,Bhopal_Trnsport_H (Madhya Pradesh),Gurgaon_Bilaspur_HB (Haryana),Bhopal_Trnsport_H (Madhya Pradesh) -> Gurgaon_Bilaspur_HB (Haryana)
IND816109AAA,IND826004AAA,10,1.8813469927769435,0.4,1.0,553.8514803690197,553.8514803690197,445.0,236.0,300.7029,1.0,0.16688268170284032,1,0,0,Sahebganj_BaraLoha_D (Jharkhand),Dhanbad_Kalynpur_I (Jharkhand),Sahebganj_BaraLoha_D (Jharkhand) -> Dhanbad_Kalynpur_I (Jharkhand)
IND331304AAA,IND332001AAB,4,4.104020979020979,1.0,1.0,549.7058566433566,549.7058566433566,441.0,106.5,131.8667,1.0,0.16563355115215797,1,0,0,Taranagar_RajRdDPP_D (Rajasthan),Sikar_FatehpRd_I (Rajasthan),Taranagar_RajRdDPP_D (Rajasthan) -> Sikar_FatehpRd_I (Rajasthan)
IND500080AAB,IND501359AAE,20,2.7954545454545454,0.4,1.0,548.8197491938431,1262.4802721088436,61.5,21.0,26.205350000000003,0.0,0.16536655540926828,1,0,0,Hyderabad_Chikdply_I (Telangana),Hyderabad_Shamshbd_H (Telangana),Hyderabad_Chikdply_I (Telangana) -> Hyderabad_Shamshbd_H (Telangana)
IND421302AAG,IND400102AAB,33,2.3076923076923075,0.42424242424242425,1.0,547.886162687887,547.886162687887,65.0,29.0,32.8961,0.0,0.16508525360682166,1,0,1,Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_Jogeshwri_L (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra) -> Mumbai_Jogeshwri_L (Maharashtra)
IND274301AAB,IND273014AAB,16,4.711711711711712,0.6875,1.0,541.9722222222221,541.9722222222221,173.5,37.0,52.06915000000001,1.0,0.16330330613656568,1,1,0,Kaptanganj_Subshngr_D (Uttar Pradesh),Gorakhpur_Matriprm_IP (Uttar Pradesh),Kaptanganj_Subshngr_D (Uttar Pradesh) -> Gorakhpur_Matriprm_IP (Uttar Pradesh)
IND560048AAB,IND560099AAB,26,1.6352370689655173,0.34615384615384615,0.6923076923076923,541.6513671875,541.6513671875,53.5,32.0,26.8094,0.0,0.16320662832576233,1,0,0,Bengaluru_Hoodi_IP (Karnataka),Bengaluru_Bomsndra_HB (Karnataka),Bengaluru_Hoodi_IP (Karnataka) -> Bengaluru_Bomsndra_HB (Karnataka)
IND283122AAB,IND282005AAA,3,16.708333333333332,0.6666666666666666,1.0,541.2041839997064,1070.8640202702704,401.0,22.0,27.7435,0.0,0.16307188619319332,1,0,0,Kirauli_AchneraRD_D (Uttar Pradesh),Agra (Uttar Pradesh),Kirauli_AchneraRD_D (Uttar Pradesh) -> Agra (Uttar Pradesh)
IND785690AAB,IND785682AAA,16,4.188235294117647,0.625,1.0,534.1157575757576,534.1157575757576,144.5,33.0,46.062200000000004,0.0,0.1609360507705026,1,1,0,Sonari_Central_DPP_1 (Assam),Sivasagar_Babupaty_D (Assam),Sonari_Central_DPP_1 (Assam) -> Sivasagar_Babupaty_D (Assam)
IND524201AAA,IND523002AAA,18,1.1666666666666667,0.16666666666666666,0.3333333333333333,532.4000000000001,532.4000000000001,78.5,70.5,89.7765,1.0,0.1604190706132886,0,0,0,Kavali_Kacheri_D (Andhra Pradesh),Ongole_SubhVRTL_I (Andhra Pradesh),Kavali_Kacheri_D (Andhra Pradesh) -> Ongole_SubhVRTL_I (Andhra Pradesh)
IND411036AAA,IND411033AAA,33,2.310344827586207,0.48484848484848486,1.0,530.2070099255584,530.2070099255584,66.0,29.0,28.4677,0.0,0.1597582940738331,1,0,1,Pune_Mundhawa_L (Maharashtra),Pune_Tathawde_H (Maharashtra),Pune_Mundhawa_L (Maharashtra) -> Pune_Tathawde_H (Maharashtra)
IND000000AFT,IND421302AAG,15,2.5238095238095237,0.5333333333333333,1.0,530.1724489795919,530.1724489795919,53.0,21.0,23.4977,0.0,0.15974788040961171,1,1,0,Mumbai_Sanpada_I (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_Sanpada_I (Maharashtra) -> Bhiwandi_Mankoli_HB (Maharashtra)
IND671315AAA,IND575004AAB,2,8.01923076923077,1.0,1.0,524.0790874746099,583.6714285714286,625.5,78.0,80.5539,1.0,0.1579118710378236,1,0,0,Kanhangad_Arangadi_D (Kerala),Mangalore_Kuntikna_H (Karnataka),Kanhangad_Arangadi_D (Kerala) -> Mangalore_Kuntikna_H (Karnataka)
IND000000ACB,IND110064AAA,48,1.6032786885245902,0.3541666666666667,0.8958333333333334,519.6597556168703,519.6597556168703,95.5,58.0,55.7743,0.0,0.15658026865361946,1,0,1,Gurgaon_Bilaspur_HB (Haryana),Delhi_Mayapuri_PC (Delhi),Gurgaon_Bilaspur_HB (Haryana) -> Delhi_Mayapuri_PC (Delhi)
IND796321AAB,IND796009AAA,3,4.046875,1.0,1.0,518.4202286576457,1779.5584960937501,525.0,131.0,185.792,1.0,0.15620678299847499,1,0,0,Champhai_AwmpiVng_D (Mizoram),Aizawl_HunthrVg_I (Mizoram),Champhai_AwmpiVng_D (Mizoram) -> Aizawl_HunthrVg_I (Mizoram)
IND421302AAG,IND400072AAJ,38,2.5954545454545457,0.42105263157894735,1.0,518.0838461538464,518.0838461538464,59.5,23.0,27.46155,0.0,0.1561054265585237,1,0,1,Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_Tejpal_I (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra) -> Mumbai_Tejpal_I (Maharashtra)
IND205001AAB,IND205135AAA,8,2.0914473684210524,0.375,1.0,516.9875000000001,516.9875000000001,81.5,40.0,43.50965000000001,0.875,0.15577508314930041,1,0,0,Mainpuri_Agraroad_I (Uttar Pradesh),Shikohabad_Katrmira_D (Uttar Pradesh),Mainpuri_Agraroad_I (Uttar Pradesh) -> Shikohabad_Katrmira_D (Uttar Pradesh)
IND713364AAB,IND712311AAA,12,4.424325434871935,0.5,1.0,514.9915687919469,514.9915687919469,655.0,146.0,207.47935,1.0,0.15517368301893986,1,0,0,Rupnarayanpur_Salanpur_D (West Bengal),Kolkata_Dankuni_HB (West Bengal),Rupnarayanpur_Salanpur_D (West Bengal) -> Kolkata_Dankuni_HB (West Bengal)
IND000000ACB,IND501359AAE,29,1.909871244635193,0.13793103448275862,1.0,500.582820952633,500.582820952633,2229.0,1165.0,1562.7023000000002,1.0,0.15083213918519842,1,0,0,Gurgaon_Bilaspur_HB (Haryana),Hyderabad_Shamshbd_H (Telangana),Gurgaon_Bilaspur_HB (Haryana) -> Hyderabad_Shamshbd_H (Telangana)
IND798601AAA,IND785001AAA,5,3.9210526315789473,1.0,1.0,494.5975768799415,1263.6196665907191,298.0,76.0,105.1853,0.0,0.14902870700725915,1,1,0,Mokokchung_Central_D_1 (Nagaland),Jorhat_RicMilRd_D (Assam),Mokokchung_Central_D_1 (Nagaland) -> Jorhat_RicMilRd_D (Assam)
IND000000ACB,IND110037AAK,39,1.8157894736842106,0.2564102564102564,1.0,493.45998326246666,1045.227079796265,69.0,38.0,38.808800000000005,0.0,0.14868593519874876,1,0,1,Gurgaon_Bilaspur_HB (Haryana),Delhi_Kapshera_L (Delhi),Gurgaon_Bilaspur_HB (Haryana) -> Delhi_Kapshera_L (Delhi)
