penalty_scenario,penalty_share,osrm_quote_miss_pct,model_quote_miss_pct,promise_miss_reduction_pp,legs_brought_inside_window,value_inr,value_cr,value_per_100k_legs_inr
low,0.06,95.70138795310605,43.33647756367066,52.36491038943539,13807.579571486323,372804.6484301307,0.03728046484301307,1413852.5805147553
central,0.1,95.70138795310605,43.33647756367066,52.36491038943539,13807.579571486323,621341.0807168846,0.06213410807168846,2356420.9675245928
high,0.14,95.70138795310605,43.33647756367066,52.36491038943539,13807.579571486323,869877.5130036384,0.08698775130036383,3298989.3545344295
